case_a,case_b,coarse_hamming,correlation_t1,correlation_t1ce,correlation_t2,correlation_flair,support_dice,high_similarity,same_annotation_hash
BRATS_001,BRATS_275,0,0.9999990072138294,0.9999992215056439,0.9999990286644564,0.9999990447891464,1.0,True,True
BRATS_002,BRATS_293,0,0.999999240198305,0.9999994022370937,0.9999990398329535,0.9999992373685703,1.0,True,True
BRATS_003,BRATS_281,0,0.9999991391264292,0.9999991179060238,0.9999990300112892,0.9999992510378043,1.0,True,False
BRATS_004,BRATS_284,1,0.9999988734363565,0.9999990250536446,0.9999989428651609,0.9999988227050081,1.0,True,False
BRATS_005,BRATS_282,0,0.999999209267115,0.999999343193027,0.9999989764036357,0.9999993597047663,1.0,True,False
BRATS_006,BRATS_283,0,0.999998957772385,0.9999988349556191,0.9999988544048221,0.9999997951779184,1.0,True,False
BRATS_007,BRATS_290,0,0.9999991284425529,0.9999992766407647,0.9999989119676486,0.999999217506245,1.0,True,True
BRATS_008,BRATS_279,0,0.9999989100289559,0.9999990155466142,0.999998997113367,0.9999990065884774,1.0,True,False
BRATS_009,BRATS_277,0,0.9999989540430008,0.9999991132873954,0.9999989378868083,0.999999156063861,1.0,True,False
BRATS_010,BRATS_278,0,0.999999009782818,0.9999991989551344,0.999998888809921,0.9999993060495017,1.0,True,True
BRATS_011,BRATS_294,0,0.999998876890056,0.9999991675342027,0.999998947532115,0.999998917408274,1.0,True,False
BRATS_012,BRATS_287,0,0.9999992015222252,0.9999994218199793,0.9999990714282246,0.9999995467959637,1.0,True,False
BRATS_013,BRATS_288,0,0.9999991725980208,0.999999364212908,0.9999990550748192,0.9999994810361162,1.0,True,True
BRATS_014,BRATS_286,0,0.9999991418241972,0.9999993002837319,0.9999989557998669,0.9999991700642459,1.0,True,False
BRATS_015,BRATS_280,0,0.9999991471747839,0.9999989215527945,0.9999990571619372,0.9999989894069071,1.0,True,True
BRATS_016,BRATS_289,0,0.9999991995729393,0.9999994325655096,0.9999991576139126,0.9999993020264305,1.0,True,False
BRATS_017,BRATS_291,0,0.9999989690246535,0.9999993787255358,0.9999992071406683,0.9999992684383108,1.0,True,False
