image_id,group_id,y,correct_seeds,mean_probability_yes,probability_sd
0198278fba06be5fee3f79b739acc5269c3f1bd2c4ca7c999af3ec7845b1db18,0198278fba06be5fee3f79b739acc5269c3f1bd2c4ca7c999af3ec7845b1db18,0,3,0.060615002333333334,0.04381319188848293
019da44350c7f407f687bae7972cf5585a64977a32c8894384bc36589526e17d,019da44350c7f407f687bae7972cf5585a64977a32c8894384bc36589526e17d,0,0,0.7659617566666667,0.10598059135247659
02d44c020cf4c1cd89ed4d99993d51a579549e2766ae4492c5d714bfd34f1038,02d44c020cf4c1cd89ed4d99993d51a579549e2766ae4492c5d714bfd34f1038,1,2,0.5339068893333333,0.45424324965585916
02fc06d496bbdb0756b65e3b7fdf210a3c07d218b79e0d16eface84e5db72b89,02fc06d496bbdb0756b65e3b7fdf210a3c07d218b79e0d16eface84e5db72b89,0,3,0.17989939866666668,0.21637501103186937
03d5e5c31d9cb551d8e72ad20ee33ef851d7dc57431e19739286f84f8ee5aae7,03d5e5c31d9cb551d8e72ad20ee33ef851d7dc57431e19739286f84f8ee5aae7,0,3,0.017915899666666665,0.011454762805956845
03f0c02287ea5e6c362d4f0faf92bd5051adf16aad4e8d652255b311c0dfae80,03f0c02287ea5e6c362d4f0faf92bd5051adf16aad4e8d652255b311c0dfae80,1,3,0.7387317000000001,0.06536092059914395
05394b1956b374ffad3400486aa171fd7261b32d705ee855a81907d6a623c6f5,05394b1956b374ffad3400486aa171fd7261b32d705ee855a81907d6a623c6f5,1,1,0.39643925666666663,0.12353750804333326
078b62143609978eff9ee30251ed34d52c9e799ca00d04fdf166ff0d2d7644ba,078b62143609978eff9ee30251ed34d52c9e799ca00d04fdf166ff0d2d7644ba,1,3,0.9864601333333333,0.005587658189164161
09393b70fcb61a1299bad46fd256c97f665e2830c41f528825d78823aa77afcb,09393b70fcb61a1299bad46fd256c97f665e2830c41f528825d78823aa77afcb,0,2,0.31164912,0.21711102106467742
0a75a892bc44b017df86771ab2715c5bdd8bb08b1aa019061f6690d8cd1b9861,0a75a892bc44b017df86771ab2715c5bdd8bb08b1aa019061f6690d8cd1b9861,1,3,0.85779909,0.06620810369316807
0d0bde27497b77e34d1be0d7f48501d37676e4645879150da9926071fbf8d195,0d0bde27497b77e34d1be0d7f48501d37676e4645879150da9926071fbf8d195,1,3,0.9825735566666666,0.008761002912146135
0da7ca18162b012c5e65e29a6521df3c090a0070342516591883801876f8a8de,0da7ca18162b012c5e65e29a6521df3c090a0070342516591883801876f8a8de,1,2,0.7772588033333333,0.28994497004629005
0e73f125d639eb939b9fac62506a72251c106ac784c139c3ffcd160b58b54d03,0e73f125d639eb939b9fac62506a72251c106ac784c139c3ffcd160b58b54d03,1,0,0.09962615899999999,0.12574314116245586
107e840154e2bb1240e59ef9babc768dd600251ff4904f40304920972ff5b706,107e840154e2bb1240e59ef9babc768dd600251ff4904f40304920972ff5b706,1,3,0.9296126866666667,0.08927121584318512
11e4f6ea90b720a70880fa29a68ec3eca0117758aa0d89ffa458f85687126645,11e4f6ea90b720a70880fa29a68ec3eca0117758aa0d89ffa458f85687126645,1,3,0.8487708833333333,0.1925017479182483
11fcbc10ab7e3890752d6a32b8de515b57952b63cccbf6ada00c3ae2da823e58,11fcbc10ab7e3890752d6a32b8de515b57952b63cccbf6ada00c3ae2da823e58,0,3,0.15368705933333335,0.23613539040061035
148fc8d2e5f5425e1305b90f17abeecc0be0f939c72a38bdedc2239b5dd74575,148fc8d2e5f5425e1305b90f17abeecc0be0f939c72a38bdedc2239b5dd74575,1,0,0.18314746,0.00950410241163256
